, Population Distribution by Village/Mtaa; 2012 PHC,,,,,,,,,
Dodoma,Mpwapwa,Kimagai,Inzomvu," 3,873 ",,,,,,
Dodoma,Mpwapwa,Kimagai,Kimagai," 3,467 ",,,,,,
Dodoma,Mpwapwa,Kibakwe,Iyenge," 6,574 ",,,,,,
Dodoma,Mpwapwa,Kibakwe,Kibakwe," 7,053 ",,,,,,
Dodoma,Mpwapwa,Kibakwe,Chamtumile," 3,078 ",,,,,,
Dodoma,Mpwapwa,Lumuma,Lufusi, 925 ,,,,,,
Dodoma,Mpwapwa,Lumuma,Kitati, 982 ,,,,,,
Dodoma,Mpwapwa,Lumuma,Mafene," 1,876 ",,,,,,
Dodoma,Mpwapwa,Luhundwa,Ikuyu," 4,816 ",,,,,,
Dodoma,Mpwapwa,Luhundwa,Luhundwa," 3,391 ",,,,,,
Dodoma,Mpwapwa,Luhundwa,Kidenge," 3,954 ",,,,,,
Dodoma,Mpwapwa,Massa,Makose," 3,452 ",,,,,,
Dodoma,Mpwapwa,Massa,Chogola," 3,775 ",,,,,,
Dodoma,Mpwapwa,Massa,Winza," 4,515 ",,,,,,
Dodoma,Mpwapwa,Massa,Njia panda, 819 ,,,,,,
Dodoma,Mpwapwa,Ipera,Kinusi," 4,857 ",,,,,,
Dodoma,Mpwapwa,Ipera,Mang'aliza," 5,176 ",,,,,,
Dodoma,Mpwapwa,Ipera,Kikuyu," 2,837 ",,,,,,
Dodoma,Mpwapwa,Rudi,Chilendu," 4,553 ",,,,,,
Dodoma,Mpwapwa,Rudi,Singonhali," 1,879 ",,,,,,
Dodoma,Mpwapwa,Rudi,Mtamba," 3,597 ",,,,,,
Dodoma,Mpwapwa,Mlunduzi,Chinyika," 4,715 ",,,,,,
Dodoma,Mpwapwa,Mlunduzi,Chinyanghuku," 2,833 ",,,,,,
Dodoma,Mpwapwa,Mlunduzi,Wiyenzele," 2,120 ",,,,,,
Dodoma,Mpwapwa,Wotta,Mlunga," 2,515 ",,,,,,
Dodoma,Mpwapwa,Wotta,Mwanawotta," 4,035 ",,,,,,
Dodoma,Mpwapwa,Wotta,Lwihomelo," 2,532 ",,,,,,
Dodoma,Mpwapwa,Wotta,Wangi," 2,930 ",,,,,,
Dodoma,Mpwapwa,Wotta,Kidabaga," 1,328 ",,,,,,
Dodoma,Mpwapwa,Mima,Mima," 4,827 ",,,,,,
Dodoma,Mpwapwa,Mima,Sazima," 3,702 ",,,,,,
Dodoma,Mpwapwa,Mima,Igoji," 3,413 ",,,,,,
Dodoma,Mpwapwa,Mima,Chamanda," 2,493 ",,,,,,
Dodoma,Mpwapwa,Berege,Berege," 5,746 ",,,,,,
Dodoma,Mpwapwa,Berege,Mzase," 2,874 ",,,,,,
Dodoma,Mpwapwa,Berege,Mkanana," 2,311 ",,,,,,
Dodoma,Mpwapwa,Chunyu,Chunyu," 3,905 ",,,,,,
Dodoma,Mpwapwa,Chunyu,Msagali," 7,688 ",,,,,,
Dodoma,Mpwapwa,Mbuga,Kizi," 1,147 ",,,,,,
Dodoma,Mpwapwa,Mbuga,Mbuga," 3,319 ",,,,,,
Dodoma,Mpwapwa,Mbuga,Iguluwi," 1,347 ",,,,,,
Dodoma,Mpwapwa,Godegode,Godegode," 3,202 ",,,,,,
Dodoma,Mpwapwa,Godegode,Kisisi," 1,754 ",,,,,,
Dodoma,Mpwapwa,Godegode,Mgoma," 1,610 ",,,,,,
Dodoma,Mpwapwa,Godegode,Mzogole," 1,318 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Ilolo," 3,647 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Kiboriani," 2,235 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Mpwapwa Mjini," 6,028 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Igovu," 6,369 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Mwanakianga," 3,058 ",,,,,,
Dodoma,Mpwapwa,Lupeta,Lupeta," 3,764 ",,,,,,
Dodoma,Mpwapwa,Lupeta,Bumila," 2,682 ",,,,,,
Dodoma,Mpwapwa,Lupeta,Makutupa," 2,031 ",,,,,,
Dodoma,Mpwapwa,Gulwe,Iyoma," 2,563 ",,,,,,
Dodoma,Mpwapwa,Gulwe,Gulwe," 4,979 ",,,,,,
Dodoma,Mpwapwa,Gulwe,Chiseyu," 2,843 ",,,,,,
Dodoma,Mpwapwa,Nghambi,Kiegea, 682 ,,,,,,
Dodoma,Mpwapwa,Nghambi,Nghambi," 5,505 ",,,,,,
Dodoma,Mpwapwa,Nghambi,Kazania," 2,190 ",,,,,,
Dodoma,Mpwapwa,Chitemo,Chibwegele," 2,026 ",,,,,,
Dodoma,Mpwapwa,Chitemo,Chitemo," 5,756 ",,,,,,
Dodoma,Mpwapwa,Iwondo,Igoji  II," 3,587 ",,,,,,
Dodoma,Mpwapwa,Iwondo,Iwondo," 4,113 ",,,,,,
Dodoma,Mpwapwa,Kingiti,Lukole," 4,530 ",,,,,,
Dodoma,Mpwapwa,Kingiti,Kingiti," 2,494 ",,,,,,
Dodoma,Mpwapwa,Lufu,Lufu," 3,200 ",,,,,,
Dodoma,Mpwapwa,Lufu,Gomhungile, 633 ,,,,,,
Dodoma,Mpwapwa,Lufu,Mlimo," 1,104 ",,,,,,
Dodoma,Mpwapwa,Pwaga,Pwaga," 6,711 ",,,,,,
Dodoma,Mpwapwa,Pwaga,Idaho," 1,137 ",,,,,,
Dodoma,Mpwapwa,Pwaga,Itende, 500 ,,,,,,
Dodoma,Mpwapwa,Pwaga,Minguwi," 2,869 ",,,,,,
Dodoma,Mpwapwa,Galigali,Matonya," 1,923 ",,,,,,
Dodoma,Mpwapwa,Galigali,Galigali," 2,433 ",,,,,,
Dodoma,Mpwapwa,Mtera,Kisima," 4,578 ",,,,,,
Dodoma,Mpwapwa,Mtera,Mtera," 4,745 ",,,,,,
Dodoma,Mpwapwa,Mtera,Kisimani," 1,611 ",,,,,,
Dodoma,Mpwapwa,Chipogoro,Chipogoro," 5,444 ",,,,,,
Dodoma,Mpwapwa,Chipogoro,Seluka," 2,936 ",,,,,,
Dodoma,Mpwapwa,Chipogoro,Chaludewa," 2,302 ",,,,,,
Dodoma,Mpwapwa,Malolo,Nzugilo," 1,910 ",,,,,,
Dodoma,Mpwapwa,Malolo,Malolo," 1,896 ",,,,,,
Dodoma,Mpwapwa,Malolo,Idodoma," 1,500 ",,,,,,
Dodoma,Kongwa,Kongwa,Kongwa," 5,057 ",,,,,,
Dodoma,Kongwa,Kongwa,Mnyakongo," 4,839 ",,,,,,
Dodoma,Kongwa,Kongwa,Mlanga," 3,635 ",,,,,,
Dodoma,Kongwa,Sejeli,Msunjilile," 5,340 ",,,,,,
Dodoma,Kongwa,Sejeli,Sejeli," 3,145 ",,,,,,
Dodoma,Kongwa,Sejeli,Mbande," 5,827 ",,,,,,
Dodoma,Kongwa,Sejeli,Vilundilo," 2,037 ",,,,,,
Dodoma,Kongwa,Sejeli,Manungu," 2,748 ",,,,,,
Dodoma,Kongwa,Hogoro,Nyerere," 2,091 ",,,,,,
Dodoma,Kongwa,Hogoro,Banyibanyi," 4,702 ",,,,,,
Dodoma,Kongwa,Hogoro,Hogoro," 4,282 ",,,,,,
Dodoma,Kongwa,Hogoro,Chamae," 3,717 ",,,,,,
Dodoma,Kongwa,Hogoro,Mkutani," 2,337 ",,,,,,
Dodoma,Kongwa,Zoissa,Pingalame," 3,295 ",,,,,,
Dodoma,Kongwa,Zoissa,Zoissa," 1,205 ",,,,,,
Dodoma,Kongwa,Zoissa,Kinangali," 1,605 ",,,,,,
Dodoma,Kongwa,Mkoka,Mkoka," 9,041 ",,,,,,
Dodoma,Kongwa,Mkoka,Mnuku," 1,795 ",,,,,,
Dodoma,Kongwa,Mkoka,Mvungurumo," 1,089 ",,,,,,
Dodoma,Kongwa,Njoge,Makutupa, 935 ,,,,,,
Dodoma,Kongwa,Njoge,Njoge," 5,323 ",,,,,,
Dodoma,Kongwa,Njoge,Hembahemba," 3,805 ",,,,,,
Dodoma,Kongwa,Mtanana,Chigwingwili," 2,819 ",,,,,,
Dodoma,Kongwa,Mtanana,Ndalibo," 2,295 ",,,,,,
Dodoma,Kongwa,Mtanana,Mtanana 'A'," 2,797 ",,,,,,
Dodoma,Kongwa,Mtanana,Mtanana 'B'," 3,543 ",,,,,,
Dodoma,Kongwa,Mtanana,Soiti," 1,105 ",,,,,,
Dodoma,Kongwa,Pandambili,Pandambili," 8,004 ",,,,,,
Dodoma,Kongwa,Mlali,Mlali Iyegu," 9,028 ",,,,,,
Dodoma,Kongwa,Mlali,Ihanda," 3,494 ",,,,,,
Dodoma,Kongwa,Mlali,Mlali Bondeni," 7,101 ",,,,,,
Dodoma,Kongwa,Iduo,Iduo," 3,560 ",,,,,,
Dodoma,Kongwa,Iduo,Chang'ombe," 2,866 ",,,,,,
Dodoma,Kongwa,Iduo,Masinyeti," 2,587 ",,,,,,
Dodoma,Kongwa,Iduo,Suguta," 2,184 ",,,,,,
Dodoma,Kongwa,Sagara,Sagara 'B'," 4,913 ",,,,,,
Dodoma,Kongwa,Sagara,Msingisa," 4,489 ",,,,,,
Dodoma,Kongwa,Sagara,Laikala," 4,841 ",,,,,,
Dodoma,Kongwa,Sagara,Ijaka," 3,370 ",,,,,,
Dodoma,Kongwa,Sagara,Sagara 'A'," 4,453 ",,,,,,
Dodoma,Kongwa,Kibaigwa,Kinangali," 2,277 ",,,,,,
Dodoma,Kongwa,Kibaigwa,Ndurugumi," 4,851 ",,,,,,
